	observed	singles	doubles	shannon	equitability	chao1	PD_whole_tree
30	10027.0	7449.0	1109.0	7.29167279848	0.548592455237	35018.0594595	424.98349
cps193	4288.0	2780.0	668.0	7.56154123214	0.626677054412	10062.0059791	247.76333
cps202	3894.0	2558.0	576.0	7.63266859672	0.639946743583	9561.94280763	227.52561
cps194	3865.0	2562.0	571.0	7.22451805741	0.606274324656	9600.38636364	218.36476
110	7192.0	5287.0	823.0	7.39020706899	0.576811176802	24150.1808252	387.17386
57	4256.0	2939.0	516.0	5.77275912554	0.478857227645	12606.8529981	269.2175
39	5222.0	3812.0	584.0	5.81149185295	0.470551406543	17638.6940171	263.81792
32	8055.0	5933.0	883.0	7.1471051211	0.550808223509	27961.4230769	377.51374
51	6388.0	4595.0	784.0	6.49942952353	0.514148652984	19833.4968153	329.34497
cps200	3829.0	2458.0	619.0	7.20086593626	0.604974880568	8699.40806452	224.48048
94	6762.0	5041.0	718.0	6.24399218259	0.490755104789	24430.038943	324.90637
72	5271.0	3705.0	674.0	6.94634288047	0.561826349677	15436.4222222	318.36962
20	6830.0	5080.0	710.0	7.57791175806	0.594921350566	24974.3881857	355.05963
52	6572.0	4691.0	780.0	7.11307328937	0.560874294189	20657.0128041	348.25945
86	6272.0	4517.0	778.0	7.01551828382	0.55613790333	19364.9216945	339.9458
50	7049.0	5163.0	787.0	6.98858056134	0.546700277031	23959.7906091	374.25732
77	6340.0	4654.0	759.0	6.80450716153	0.538746100472	20586.7513158	365.19864
71	7159.0	5273.0	804.0	6.75982736524	0.527882941065	24425.6186335	363.99862
79	4421.0	3078.0	547.0	5.80578572993	0.479414570831	13062.4288321	238.64285
cps198	3732.0	2466.0	532.0	7.34825808929	0.61928394323	9434.3358349	220.60222
cps183	3872.0	2510.0	596.0	7.46933191812	0.626681569326	9146.36348409	226.98053
17	7475.0	5483.0	882.0	7.11286700022	0.552762322635	24495.2751982	390.86302
114	5852.0	4421.0	616.0	6.66966966408	0.532946229153	21687.3484603	314.41195
66	5036.0	3686.0	568.0	5.23328075175	0.425537008202	16971.7732865	278.9955
38	5178.0	3909.0	522.0	4.94526282806	0.400809773298	19782.5621415	239.08922
102	5064.0	3739.0	590.0	6.89808543654	0.560543706885	16888.3502538	301.02071
